route,title,description,file
/guides/one-question-video/,Build a video around one answer | Kleo,"Build a video around one answer. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/one-question-video/index.html
/guides/audience-brief/,Define the audience for an AI video | Kleo,"Define the audience for an AI video. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/audience-brief/index.html
/guides/source-pack/,Prepare a source pack for a factual video | Kleo,"Prepare a source pack for a factual video. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/source-pack/index.html
/guides/creative-constraints/,Write useful creative constraints | Kleo,"Write useful creative constraints. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/creative-constraints/index.html
/guides/treatment-approval/,Approve a treatment before rendering | Kleo,"Approve a treatment before rendering. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/treatment-approval/index.html
/guides/script-to-brief/,Turn an existing script into a production brief | Kleo,"Turn an existing script into a production brief. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/script-to-brief/index.html
/guides/reference-look/,Describe a visual reference without copying it | Kleo,"Describe a visual reference without copying it. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/reference-look/index.html
/guides/revision-notes/,Give revision notes an AI assistant can use | Kleo,"Give revision notes an AI assistant can use. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/revision-notes/index.html
/guides/client-brief/,Collect a client brief for a narrated film | Kleo,"Collect a client brief for a narrated film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/client-brief/index.html
/guides/one-call-to-action/,Choose one call to action for a short film | Kleo,"Choose one call to action for a short film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/one-call-to-action/index.html
/guides/brief-version-control/,Keep a clear history of video briefs | Kleo,"Keep a clear history of video briefs. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/brief-version-control/index.html
/guides/opening-hook/,Write an opening that earns the next scene | Kleo,"Write an opening that earns the next scene. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/opening-hook/index.html
/guides/three-act-short/,Use three acts in a short narrated film | Kleo,"Use three acts in a short narrated film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/three-act-short/index.html
/guides/cause-and-effect/,Make scenes connect through cause and effect | Kleo,"Make scenes connect through cause and effect. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/cause-and-effect/index.html
/guides/visual-payoff/,Set up a visual payoff | Kleo,"Set up a visual payoff. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/visual-payoff/index.html
/guides/nonfiction-story-arc/,Build a factual explainer without invented drama | Kleo,"Build a factual explainer without invented drama. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/nonfiction-story-arc/index.html
/guides/single-location-story/,Tell a story in one location | Kleo,"Tell a story in one location. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/single-location-story/index.html
/guides/object-led-story/,Use an object as the center of a film | Kleo,"Use an object as the center of a film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/object-led-story/index.html
/guides/parallel-storylines/,Keep two storylines clear in a short video | Kleo,"Keep two storylines clear in a short video. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/parallel-storylines/index.html
/guides/ending-without-summary/,End a film without repeating every point | Kleo,"End a film without repeating every point. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/ending-without-summary/index.html
/guides/episodic-video-series/,Design a series with distinct episodes | Kleo,"Design a series with distinct episodes. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/episodic-video-series/index.html
/guides/storyboard-density/,Choose how much happens in each scene | Kleo,"Choose how much happens in each scene. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/storyboard-density/index.html
/guides/shot-size/,Choose shot sizes that explain the action | Kleo,"Choose shot sizes that explain the action. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/shot-size/index.html
/guides/camera-movement/,Give camera movement a narrative purpose | Kleo,"Give camera movement a narrative purpose. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/camera-movement/index.html
/guides/character-continuity/,Plan character continuity across generated scenes | Kleo,"Plan character continuity across generated scenes. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/character-continuity/index.html
/guides/prop-continuity/,Keep important props consistent | Kleo,"Keep important props consistent. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/prop-continuity/index.html
/guides/light-and-time/,Make lighting and time of day coherent | Kleo,"Make lighting and time of day coherent. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/light-and-time/index.html
/guides/color-palette/,Use a restrained color palette in a film | Kleo,"Use a restrained color palette in a film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/color-palette/index.html
/guides/vertical-composition/,Compose a scene for vertical video | Kleo,"Compose a scene for vertical video. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/vertical-composition/index.html
/guides/landscape-composition/,Use landscape framing for narrated explainers | Kleo,"Use landscape framing for narrated explainers. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/landscape-composition/index.html
/guides/realistic-or-animation/,Choose realistic or animation for your story | Kleo,"Choose realistic or animation for your story. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/realistic-or-animation/index.html
/guides/complex-actions/,Simplify actions that are difficult to inspect | Kleo,"Simplify actions that are difficult to inspect. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/complex-actions/index.html
/guides/text-in-generated-scenes/,Keep critical text out of generated scenery | Kleo,"Keep critical text out of generated scenery. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/text-in-generated-scenes/index.html
/guides/write-for-the-ear/,Write narration that sounds natural aloud | Kleo,"Write narration that sounds natural aloud. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/write-for-the-ear/index.html
/guides/narration-timing/,Estimate narration length before production | Kleo,"Estimate narration length before production. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/narration-timing/index.html
/guides/names-and-pronunciation/,Prepare names for narration review | Kleo,"Prepare names for narration review. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/names-and-pronunciation/index.html
/guides/numbers-in-voiceover/,Make numbers understandable in voiceover | Kleo,"Make numbers understandable in voiceover. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/numbers-in-voiceover/index.html
/guides/voice-and-visuals/,Make narration and pictures work together | Kleo,"Make narration and pictures work together. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/voice-and-visuals/index.html
/guides/one-narrator-dialogue/,Adapt dialogue for one narrator | Kleo,"Adapt dialogue for one narrator. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/one-narrator-dialogue/index.html
/guides/italian-localization/,Prepare an Italian narration from an English brief | Kleo,"Prepare an Italian narration from an English brief. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/italian-localization/index.html
/guides/tone-without-hype/,Set a narration tone without exaggerated claims | Kleo,"Set a narration tone without exaggerated claims. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/tone-without-hype/index.html
/guides/pause-design/,Plan pauses in a narrated film | Kleo,"Plan pauses in a narrated film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/pause-design/index.html
/guides/source-attribution-spoken/,Attribute a source naturally in narration | Kleo,"Attribute a source naturally in narration. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/source-attribution-spoken/index.html
/guides/audio-review/,Review generated narration before publishing | Kleo,"Review generated narration before publishing. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/audio-review/index.html
/guides/film-or-animatic/,Choose a film or an animatic before rendering | Kleo,"Choose a film or an animatic before rendering. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/film-or-animatic/index.html
/guides/assistant-handoff/,Keep a video project coherent between assistants | Kleo,"Keep a video project coherent between assistants. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/assistant-handoff/index.html
/guides/render-authorization/,Separate planning from permission to render | Kleo,"Separate planning from permission to render. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/render-authorization/index.html
/guides/job-status/,Track a video render without starting duplicates | Kleo,"Track a video render without starting duplicates. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/job-status/index.html
/guides/failed-render/,Handle a failed render methodically | Kleo,"Handle a failed render methodically. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/failed-render/index.html
/guides/credit-planning/,Plan credits for a video project | Kleo,"Plan credits for a video project. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/credit-planning/index.html
/guides/longer-explainer/,Plan a longer explainer in clear chapters | Kleo,"Plan a longer explainer in clear chapters. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/longer-explainer/index.html
/guides/short-from-long/,Adapt a longer idea into a short film | Kleo,"Adapt a longer idea into a short film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/short-from-long/index.html
/guides/real-interface-demo/,Use real screenshots for a product demonstration | Kleo,"Use real screenshots for a product demonstration. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/real-interface-demo/index.html
/guides/editor-handoff/,Hand a generated film to a human editor | Kleo,"Hand a generated film to a human editor. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/editor-handoff/index.html
/guides/project-archive/,Archive a completed video project | Kleo,"Archive a completed video project. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/project-archive/index.html
/guides/factual-review/,Fact-check a narrated video before release | Kleo,"Fact-check a narrated video before release. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/factual-review/index.html
/guides/visual-artifact-review/,Inspect generated footage for visual artifacts | Kleo,"Inspect generated footage for visual artifacts. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/visual-artifact-review/index.html
/guides/mobile-review/,Review a film on a phone | Kleo,"Review a film on a phone. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/mobile-review/index.html
/guides/silent-review/,Use a silent pass to test visual clarity | Kleo,"Use a silent pass to test visual clarity. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/silent-review/index.html
/guides/brief-compliance/,Check a rendered film against its approved brief | Kleo,"Check a rendered film against its approved brief. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/brief-compliance/index.html
/guides/source-context-review/,Check that a source has not lost its context | Kleo,"Check that a source has not lost its context. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/source-context-review/index.html
/guides/reconstruction-labels/,Label illustrative reconstructions clearly | Kleo,"Label illustrative reconstructions clearly. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/reconstruction-labels/index.html
/guides/asset-record/,Keep an asset and permission record | Kleo,"Keep an asset and permission record. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/asset-record/index.html
/guides/review-rounds/,Organize review rounds without conflicting edits | Kleo,"Organize review rounds without conflicting edits. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/review-rounds/index.html
/guides/export-inspection/,Inspect the actual exported video file | Kleo,"Inspect the actual exported video file. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/export-inspection/index.html
/guides/release-signoff/,Approve the whole publication package | Kleo,"Approve the whole publication package. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/release-signoff/index.html
/guides/youtube-upload-checklist/,Prepare a generated film for YouTube upload | Kleo,"Prepare a generated film for YouTube upload. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/youtube-upload-checklist/index.html
/guides/youtube-shorts-format/,Plan a film for YouTube Shorts | Kleo,"Plan a film for YouTube Shorts. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/youtube-shorts-format/index.html
/guides/honest-video-titles/,Write a video title that matches the content | Kleo,"Write a video title that matches the content. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/honest-video-titles/index.html
/guides/video-description-sources/,Write a useful video description with sources | Kleo,"Write a useful video description with sources. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/video-description-sources/index.html
/guides/caption-handoff/,Prepare captions for a narrated film | Kleo,"Prepare captions for a narrated film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/caption-handoff/index.html
/guides/thumbnail-brief/,Brief a thumbnail without misrepresenting the film | Kleo,"Brief a thumbnail without misrepresenting the film. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/thumbnail-brief/index.html
/guides/ai-disclosure/,Review AI disclosure before uploading | Kleo,"Review AI disclosure before uploading. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/ai-disclosure/index.html
/guides/source-links-maintenance/,Maintain sources after a video is published | Kleo,"Maintain sources after a video is published. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/source-links-maintenance/index.html
